<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  36  7 39 50 50   5   2   0   -262      3  0.03     73    5.65    0.19   -0.13   -5.61    0.80   -5.55    0.05    0.33   382.3  -381.9   -16.2     6.2   7.15   41199.  2.09   2.12   1.58   9.0   -3.55  -38.00   -5.92   12.25   -0.43   -0.08   488  -208   280     7   -28    24    22   3.06  5.9
1981  36  7 40 50 50   3   1   0   -254      3  0.01     52    5.79   -0.42   -1.42   -5.57   -0.48   -5.73    0.14    0.48   382.2  -381.8   -16.0     8.0   7.21   41517.  2.11   2.19   1.52   8.9   -3.55  -38.00   -5.92   12.21   -0.36   -0.31   491  -216   275     7   -29    23    22   3.10  5.8
1981  36  7 41 50 50   3   1   0   -238      4  0.01     44    6.11   -0.38   -1.83   -5.81   -0.85   -6.03    0.03    0.10   383.9  -383.2   -20.8    11.4   7.13   26977.  2.10   2.31   1.23   8.4   -3.54  -38.00   -5.92   12.19   -0.30   -0.34   483  -213   270     7   -28    22    21   3.17  5.8
1981  36  7 42 50 50   3   1   0   -211      7  0.01     32    6.20   -0.18   -1.46   -5.99   -0.46   -6.15    0.02    0.38   383.1  -382.6   -18.7     7.4   7.04   33737.  2.07   2.36   1.24   8.2   -3.53  -38.01   -5.93   12.18   -0.33   -0.28   464  -213   251     8   -29    21    21   3.12  5.7
1981  36  7 43 50 50   3   1   0   -181      8  0.01     30    6.17   -0.16   -1.88   -5.87   -0.90   -6.10    0.06    0.13   383.1  -382.6   -18.7     7.4   7.04   33737.  2.07   2.34   1.25   8.2   -3.53  -38.01   -5.93   12.21   -0.36   -0.21   428  -205   223     7   -29    20    21   3.09  5.7
1981  36  7 44 50 50   3   1   0   -152      7  0.01     30    6.14   -0.22   -1.43   -5.90   -0.45   -6.05    0.06    0.43   384.9  -384.5   -18.1     3.4   7.13   39503.  2.11   2.33   1.32   8.4   -3.52  -38.01   -5.93   12.18   -0.37   -0.15   414  -215   199     7   -29    19    21   3.00  5.7
1981  36  7 45 50 50   2   1   0   -122      7  0.01     30    6.06    0.40    0.07   -5.96    1.03   -5.87    0.00    1.00   384.9  -384.5   -18.1     3.4   7.13   39503.  2.11   2.26   1.36   8.5   -3.52  -38.01   -5.93   12.22   -0.45   -0.08   400  -218   182     7   -28    19    22   2.96  5.8
1981  36  7 46 50 50   2   1   0   -100      6  0.01     38    6.04    0.62    0.41   -5.98    1.37   -5.84    0.01    0.05   380.3  -380.1   -13.3     2.0   6.87   37534.  1.99   2.22   1.30   8.3   -3.51  -38.01   -5.94   12.26   -0.52   -0.07   386  -218   168     7   -29    18    21   2.92  5.7
1981  36  7 47 50 99   2 999   0    -77      6  0.01     36    6.03    0.94    0.54   -5.92    1.48   -5.76    0.03    0.23 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.26   -0.55   -0.09   389  -222   167     7   -29    18    21   2.94 99.9
1981  36  7 48 50 99   2 999   0    -48     10  0.01     30    6.03    1.25    0.60   -5.86    1.53   -5.69    0.04    0.05 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.26   -0.56   -0.11   397  -222   175     7   -29    18    22   2.92 99.9
1981  36  7 49 50 99   2 999   0    -12      5  0.01     24    6.09    1.05    0.60   -5.97    1.54   -5.80    0.01    0.04 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.24   -0.58   -0.14   407  -229   178     6   -28    17    22   2.88 99.9
1981  36  7 50 50 99   2 999   0     26     12  0.02     21    6.04    0.77    0.31   -5.97    1.25   -5.85    0.00    0.17 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.22   -0.60   -0.16   408  -235   173     6   -28    16    21   2.92 99.9
1981  36  7 51 50 50   1   1   0     63      0  0.00     23    6.08    0.63    0.03   -6.04    0.98   -5.96    0.00    0.00   378.3  -378.1   -11.2     5.3   7.13   38842.  2.04   2.25   1.34   8.3   -3.49  -38.01   -5.95   12.20   -0.61   -0.18   397  -233   164     6   -28    16    21   3.01  5.7
1981  36  7 52 50 99   1 999   0    115      0  0.00      7    6.02    1.08    0.60   -5.89    1.52   -5.72    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.19   -0.64   -0.20   384  -227   157     6   -28    15    21   3.13 99.9
1981  36  7 54 50 50   2   1   0    192      3  0.00 999999    6.03    1.67    0.42   -5.75    1.31   -5.61    0.03    0.29   376.3  -376.1    -9.2     6.6   7.38   44274.  2.09   2.11   1.46   8.5   -3.49  -38.01   -5.96   12.20   -0.69   -0.19   402  -225   177     6   -28    17    21   3.55  5.6
1981  36  7 55 50 99   8 999   0    222     42  0.04     30    6.05    1.92    0.61   -5.65    1.48   -5.49    0.05    0.74 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.22   -0.74   -0.16   410  -222   188     7   -28    18    21   3.67 99.9
1981  36  7 56 50 50  12   3   0    178    122  0.11    104    6.07    2.47    1.80   -5.14    2.57   -4.80    0.03    1.02   370.8  -370.7    -0.8     9.2   7.21   32607.  1.98   1.78   1.31   8.2   -3.46  -38.01   -5.98   12.37   -0.93   -0.31   418  -224   194     7   -28    19    21   3.87  5.6
1981  36  7 57 50 50   6   1   0     88      1  0.00    150    5.93    2.86    3.09   -4.15    3.69   -3.62    0.02    0.37   370.3  -369.9     3.2    16.8   6.96   27256.  1.91   1.34   1.28   8.2   -3.45  -38.02   -5.98   12.49   -1.24   -0.39   422  -222   200     7   -28    19    21   3.95  5.7
1981  36  7 58 50 50   4   1   0     91      2  0.00     57    6.01    2.50    3.31   -4.29    3.93   -3.73    0.05    0.30   369.5  -369.3    12.9     3.2   7.71   28103.  2.11   1.38   1.39   8.5   -3.43  -38.02   -5.99   12.35   -1.39   -0.23   426  -223   203     7   -28    20    21   4.00  5.8
1981  36  7 59 50 50   5   1   0    101      2  0.00     49    6.03    1.70    2.56   -5.15    3.32   -4.70    0.04    0.17   373.6  -372.2     9.1    30.6   7.38   34669.  2.06   1.76   1.38   8.4   -3.43  -38.02   -6.00   12.22   -1.31   -0.83   424  -223   201     7   -28    22    22   4.09  5.7
1981  36  8  0 50 50   4   1   0    107      1  0.00     54    5.67    0.82    1.76   -5.16    2.53   -4.83    0.26    0.95   373.5  -371.8    10.4    34.5   7.63   37211.  2.13   1.80   1.63   9.1   -3.42  -38.02   -6.00   12.16   -1.30   -1.08   434  -228   206     7   -28    23    22   4.05  5.9
1981  36  8  1 50 50   7   2   0    103     10  0.02     63    5.28    1.15    1.28   -4.87    2.00   -4.62    0.10    0.99   365.7  -364.9    18.5    14.9   7.23   33692.  1.93   1.69   1.75   9.3   -3.41  -38.02   -6.01   12.29   -1.53   -0.67   441  -234   207     7   -28    23    22   3.96  5.9
1981  36  8  2 50 50   7   1   0     74     35  0.05     89    4.92    0.60    0.31   -4.68    1.01   -4.58    0.31    1.24   371.2  -370.7    12.9    13.6   7.88   44274.  2.17   1.70   2.34  10.6   -3.40  -38.02   -6.02   12.22   -1.24   -0.45   443  -234   209     7   -28    25    22   3.93  6.1
1981  36  8  3 50 50   3   2   0    111      1  0.00     23    5.35    0.48    0.81   -5.22    1.59   -5.04    0.25    0.60   374.7  -374.3    -1.7    13.2   7.94   51364.  2.23   1.89   2.07   9.9   -3.39  -38.02   -6.02   12.11   -1.16   -0.45   448  -236   212     7   -28    26    22   3.88  5.9
1981  36  8  4 50 50   7   2   0     93     25  0.04     77    4.62   -0.46   -0.01   -4.26    0.63   -4.21    0.55    1.69   381.4  -380.1    11.0    28.4   6.93   62742.  2.02   1.61   2.58  10.9   -3.38  -38.03   -6.03   12.36   -1.18   -0.80   439  -235   204     7   -29    27    23   3.89  6.0
1981  36  8  5 50 99   7 999   0     74     27  0.05     78    6.07   -0.59   -3.47   -4.83   -2.71   -5.29    0.47    1.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.42   -1.15   -0.82   430  -237   193     7   -29    27    23   3.95 99.9
1981  36  8  6 50 99   4 999   0     66      2  0.01     68    6.68   -1.03   -3.35   -5.66   -2.47   -6.10    0.02    0.46 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.37   -0.92   -0.68   413  -236   177     8   -30    29    22   3.85 99.9
1981  36  8  7 50 99   8 999   0     46     25  0.04     79    6.75   -1.07   -2.69   -6.07   -1.76   -6.40    0.04    0.34 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.34   -0.69   -0.54   396  -231   165     8   -30    30    23   3.84 99.9
1981  36  8  8 50 99   8 999  13    -20     46  0.08    125    6.81   -1.11   -2.94   -5.96   -2.03   -6.33    0.12    0.89 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.42   -0.39   -0.34   389  -228   161     8   -30    31    23   3.76 99.9
1981  36  8  9 50 50  13   1  38    -58     52  0.09     98    6.97   -1.35   -3.27   -5.98   -2.36   -6.40    0.07    0.43   383.2  -382.4   -22.7     8.0   6.45   28388.  1.89   2.45   0.87   7.0   -3.33  -38.03   -6.06   12.45   -0.31   -0.22   369  -217   152     8   -30    31    23   3.74  5.3
1981  36  8 10 50 99   5 999 100   -123      3  0.01    124    6.86   -1.06   -2.45   -6.31   -1.50   -6.60    0.02    0.23 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.44   -0.43   -0.12   352  -205   147     8   -30    32    24   3.78 99.9
1981  36  8 11 50 50   6   1 100   -136      3  0.01     73    6.84   -1.08   -2.08   -6.41   -1.12   -6.64    0.04    0.23   381.9  -381.7   -13.3     1.3   6.20   30418.  1.81   2.54   0.88   7.0   -3.28  -38.04   -6.09   12.44   -0.50   -0.07   349  -201   148     8   -30    33    24   3.79  5.2
1981  36  8 12 50 50   6   1 100   -151      4  0.01     75    6.95   -1.13   -2.21   -6.48   -1.24   -6.73    0.06    0.26   381.9  -381.7   -13.3     1.3   6.20   30418.  1.81   2.57   0.85   6.8   -3.28  -38.04   -6.09   12.47   -0.47    0.01   344  -192   152     8   -31    33    24   3.74  5.2
1981  36  8 13 50 50   6   1 100   -166      3  0.01     75    7.12   -1.35   -2.38   -6.57   -1.40   -6.85    0.04    0.09   383.5  -382.9   -21.4    -5.4   5.94   21917.  1.75   2.63   0.73   6.6   -3.25  -38.04   -6.11   12.50   -0.34    0.12   338  -187   151     8   -31    33    25   3.64  5.1
1981  36  8 14 50 50   5   1 100   -180      3  0.01     74    7.15   -1.36   -2.26   -6.64   -1.28   -6.90    0.02    0.11   383.5  -382.9   -21.4    -5.4   5.94   21917.  1.75   2.65   0.73   6.5   -3.25  -38.04   -6.11   12.54   -0.30    0.09   363  -213   149     8   -32    34    26   3.57  5.1
1981  36  8 15 50 50   5   1 100   -193      4  0.01     73    7.18   -1.27   -2.22   -6.70   -1.23   -6.95    0.03    0.07   385.6  -385.1   -18.2     8.1   5.60   21413.  1.67   2.68   0.68   6.4   -3.24  -38.05   -6.12   12.60   -0.36   -0.20   369  -222   146     8   -32    35    26   3.56  5.0
1981  36  8 16 50 99   6 999 100   -208      3  0.01     75    7.15   -1.20   -2.26   -6.67   -1.28   -6.92    0.03    0.05 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.59   -0.36   -0.21   358  -216   141     9   -33    35    26   3.48 99.9
1981  36  8 17 50 99   2 999 100   -218      1  0.00     70    7.15   -1.34   -2.27   -6.64   -1.30   -6.90    0.02    0.07 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.57   -0.35   -0.16   347  -205   141     8   -33    36    26   3.30 99.9
1981  36  8 33 50 99   1 999 100   -208      0  0.00 999999    7.32   -1.92   -1.79   -6.82   -0.86   -7.00    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.97   -0.13   -0.84   316  -186   130     8   -32    35    25   2.76 99.9
1981  36  8 34 50 99   6 999 100   -216      4  0.01     67    7.28   -1.78   -1.78   -6.83   -0.85   -7.01    0.05    0.26 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.00   -0.14   -0.68   326  -187   139     8   -33    37    26   2.80 99.9
1981  36  8 35 50 50   6   1 100   -233      4  0.01     77    7.52   -1.31   -1.97   -7.14   -1.00   -7.34    0.05    0.11   384.9  -384.0   -24.2     8.7   7.13   28961.  2.11   2.83   0.83   6.8   -3.05  -38.07   -6.25   12.02   -0.17   -0.36   341  -194   147     8   -33    38    26   2.86  5.2
1981  36  8 36 50 99   6 999 100   -248      3  0.01     75    7.58   -1.53   -1.85   -7.19   -0.88   -7.37    0.04    0.13 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.00   -0.16   -0.29   363  -207   156     8   -33    38    26   2.88 99.9
1981  36  8 37 50 99   4 999 100   -260      2  0.01     71    7.63   -1.81   -1.84   -7.18   -0.87   -7.36    0.02    0.20 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.97   -0.14   -0.32   397  -229   168     8   -33    38    26   2.94 99.9
1981  36  8 38 50 50   6   1 100   -271      3  0.01     71    7.65   -1.90   -2.01   -7.13   -1.05   -7.33    0.03    0.18   392.7  -391.7   -26.0    11.6   7.21   44624.  2.22   2.88   0.89   6.9   -3.02  -38.08   -6.27   11.95   -0.12   -0.34   438  -259   179     8   -33    38    26   3.11  5.2
1981  36  8 39 50 50   6   1 100   -287      4  0.01     75    7.67   -1.93   -2.10   -7.11   -1.15   -7.32    0.08    0.18   392.7  -391.7   -26.0    11.6   7.21   44624.  2.22   2.87   0.88   6.9   -3.02  -38.08   -6.27   11.96   -0.11   -0.31   465  -282   183     8   -33    39    26   3.28  5.2
1981  36  8 40 50 99   6 999 100   -304      4  0.01     76    7.60   -1.96   -1.33   -7.22   -0.37   -7.33    0.04    0.22 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.95   -0.11   -0.24   487  -302   185     8   -33    39    26   3.44 99.9
1981  36  8 41 50 99   6 999 100   -323      5  0.01     79    7.53   -1.99   -1.50   -7.10   -0.56   -7.24    0.05    0.17 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.99   -0.11   -0.17   511  -321   190     9   -33    38    26   3.50 99.9
1981  36  8 42 50 99   7 999 100   -342      5  0.01     78    7.15   -1.49    1.10   -6.86    1.98   -6.66    0.13    0.54 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.03   -0.11   -0.09   508  -332   176     9   -33    38    26   3.45 99.9
1981  36  8 43 50 99   6 999 100   -362      3  0.01     79    7.29   -1.67    1.76   -6.71    2.61   -6.43    0.20    1.10 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.08   -0.11   -0.02   514  -334   180     9   -33    38    26   3.46 99.9
1981  36  8 44 50 99   1 999 100   -368      0  0.00     66    7.54   -2.07    0.63   -7.21    1.56   -7.07    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.02   -0.11    0.01   511  -322   189     9   -34    38    26   3.48 99.9
1981  36  8 52 50 50   4   1 100   -370      3  0.01 999999    7.68   -1.44   -1.92   -6.97   -1.03   -7.16    0.18    2.06   388.2  -386.4   -29.1    23.0   7.96   31906.  2.40   2.78   0.90   7.1   -2.88  -38.09   -6.36   11.85   -0.08   -0.57   430  -277   153     9   -36    44    29   3.45  5.3
1981  36  8 53 50 99   7 999 100   -390      6  0.01     79    7.53   -1.35   -4.78   -5.64   -4.04   -6.19    0.03    0.19 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.05   -0.05   -0.69   454  -274   180     9   -37    44    29   3.40 99.9
1981  36  8 54 50 99   7 999 100   -409      5  0.01     78    7.53   -1.34   -3.84   -6.29   -3.02   -6.72    0.05    0.71 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.03   -0.09   -0.66   479  -274   205     9   -37    45    29   3.35 99.9
1981  36  8 55 50 50   6   1 100   -428      3  0.01     79    7.62   -0.87   -2.85   -6.99   -1.96   -7.29    0.05    0.44   384.9  -383.5   -26.1    20.1   7.29   30713.  2.16   2.81   0.83   6.8   -2.85  -38.09   -6.38   12.00   -0.11   -0.61   491  -278   213     9   -38    43    28   3.25  5.2
1981  36  8 56 50 99   6 999 100   -442      3  0.01     73    7.54   -1.47   -2.43   -6.97   -1.55   -7.22    0.03    0.41 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.99   -0.11   -0.54   479  -278   201     8   -38    41    28   3.17 99.9
1981  36  8 57 50 99   5 999  60   -457      8  0.01     75    7.63   -1.76   -2.49   -6.95   -1.61   -7.20    0.03    0.38 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.00   -0.11   -0.46   463  -273   190     8   -38    41    28   3.18 99.9
1981  36 20 14 50 99   4 999   0   -696     38  0.04 999999    7.82    5.20   -4.87   -2.29   -3.37   -4.20    0.23    1.25 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.38   -0.88   -0.33   284  -200    83    -1   -47    20    35   2.14 99.9
1981  36 20 15 50 99   4 999   0   -682      1  0.00     45    7.43    5.26   -3.32   -3.39   -1.49   -4.51    0.61    1.28 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.18   -0.87   -0.32   239  -157    81     0   -47    21    35   2.15 99.9
1981  36 20 16 50 99   5 999   0   -678      1  0.00     56    8.44    5.31   -3.63   -5.37   -0.89   -6.42    0.17    0.49 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.93   -0.88   -0.31   220  -139    81     0   -47    21    35   2.11 99.9
1981  36 20 17 50 99   4 999   0   -677      2  0.01     59    8.73    5.58   -3.55   -5.63   -0.70   -6.62    0.17    0.56 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.90   -0.89   -0.30   220  -141    79    -1   -47    21    36   2.10 99.9
1981  36 20 18 50 99   5 999   0   -668      1  0.01     51    8.88    5.19   -1.88   -6.72    1.28   -6.86    0.32    1.60 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.74   -0.90   -0.29   267  -192    74    -1   -47    21    36   2.13 99.9
1981  36 20 19 50 99   6 999   0   -673      3  0.00     64    9.01    6.73    0.95   -5.57    3.32   -4.57    0.22    1.46 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.88   -0.93   -0.28   298  -218    79    -1   -47    22    37   2.16 99.9
1981  36 20 20 50 50   9   1   0   -738     96  0.14    124    8.23    4.64   -6.03   -0.10   -5.36   -2.76    0.50    2.94   457.4  -457.2     7.2    10.4   5.99  195964.  2.51   1.26   1.19   6.8    3.36  -38.00  -10.30   12.66   -1.06   -0.33   294  -207    86    -1   -48    21    36   2.16  4.8
1981  36 20 21 50 99   5 999   0   -730     67  0.12     52    7.83    4.39   -6.34    1.09   -6.17   -1.83    0.66    0.91 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.82   -1.11   -0.36   246  -159    86    -1   -49    20    36   2.09 99.9
1981  36 20 22 50 99   5 999   0   -702     16  0.06     31    7.17    4.02   -5.81    0.69   -5.51   -1.96    0.15    0.79 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.81   -1.16   -0.39   247  -157    89    -1   -49    20    36   1.94 99.9
1981  36 20 23 50 99   4 999   0   -698      8  0.03     56    7.04    4.53   -5.16    1.33   -5.21   -1.10    0.24    0.56 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.85   -1.21   -0.44   247  -158    88    -1   -49    21    36   2.01 99.9
1981  36 20 24 50 50   4   1   0   -701      4  0.00     62    8.98    4.48   -7.47    2.07   -7.61   -1.47    0.74    0.85   444.9  -444.2    16.3    18.6   5.78  195811.  2.29   0.65   0.97   6.0    3.41  -38.00  -10.32   13.07   -1.31   -0.51   285  -177   108    -2   -50    22    37   1.99  4.4
1981  36 20 25 50 50   7   2   0   -740     16  0.02     98    9.61    4.52   -8.11    2.26   -8.27   -1.59    0.11    0.68   446.9  -444.8    30.5    30.7   5.91  259528.  2.36   0.71   1.03   5.7    3.42  -38.00  -10.33   13.10   -1.59   -0.72   321  -188   133    -2   -49    21    37   2.06  4.1
